SnesAddressHex,SnesAddress,Name,Comment,UsedStatus
$009891,39057,CODE_FN_009891,,USED
$0098F1,39153,CODE_FN_0098F1,,USED
$009952,39250,UNREACH_009952,,USED
$009994,39316,CODE_FL_009994,,USED
$009998,39320,CODE_FN_009998,,USED
$0099A7,39335,-,,USED
$0099B8,39352,+,,USED
$0099BD,39357,CODE_FN_0099BD,,USED
$0099EA,39402,CODE_FN_0099EA,,USED
$009A02,39426,CODE_FN_009A02,,USED
$009A05,39429,CODE_FN_009A05,,USED
$009A08,39432,CODE_FN_009A08,,USED
$009A11,39441,CODE_FN_009A11,,USED
$009A1E,39454,UNREACH_009A1E,,USED
$009A60,39520,CODE_FL_009A60,,USED
$009A8B,39563,-,,USED
$009A8E,39566,--,,USED
$009AAF,39599,+,,USED
$009ADE,39646,-,,USED
$009AEB,39659,+,,USED
$009AEC,39660,CODE_FL_009AEC,,USED
$009B02,39682,CODE_FL_009B02,,USED
$009B2F,39727,CODE_FL_009B2F,,USED
$009B45,39749,CODE_FL_009B45,,USED
$009B59,39769,CODE_FL_009B59,,USED
$009B78,39800,+,,USED
$009B8A,39818,CODE_FN_009B8A,,USED
$009BA3,39843,CODE_FN_009BA3,,USED
$009BA4,39844,CODE_FL_009BA4,,USED
$009BC4,39876,CODE_FN_009BC4,,USED
$009BEC,39916,+,,USED
$009C52,40018,CODE_FN_009C52,,USED
$009C60,40032,+,,USED
$009C6F,40047,+,,USED
$009C80,40064,+,,USED
$009CAA,40106,CODE_FN_009CAA,,USED
$009CB9,40121,+,,USED
$009CEF,40175,CODE_FN_009CEF,,USED
$009CF0,40176,CODE_FN_009CF0,,USED
$009D18,40216,+,,USED
